age,sex,smoking,coverage,payment
20,M,N,100000,15.69
20,M,N,150000,20.54
20,M,N,200000,24.41
20,M,N,250000,30.23
20,M,N,300000,33.62
20,M,N,350000,39.92
20,M,N,400000,44.77
20,M,N,500000,49.61
20,M,N,600000,58.34
20,M,N,700000,67.06
20,M,N,800000,75.78
20,M,N,1000000,88.38
20,M,Y,100000,18.85
20,M,Y,150000,27.97
20,M,Y,200000,34.19
20,M,Y,250000,42.27
20,M,Y,300000,45.38
20,M,Y,350000,52.91
20,M,Y,400000,59.61
20,M,Y,500000,71.63
20,M,Y,600000,77.29
20,M,Y,700000,89.18
20,M,Y,800000,101.06
20,M,Y,1000000,123.44
20,F,N,100000,15.00
20,F,N,150000,15.00
20,F,N,200000,16.48
20,F,N,250000,19.10
20,F,N,300000,20.94
20,F,N,350000,23.98
20,F,N,400000,26.97
20,F,N,500000,29.59
20,F,N,600000,34.31
20,F,N,700000,39.02
20,F,N,800000,43.74
20,F,N,1000000,51.60
20,F,Y,100000,15.00
20,F,Y,150000,16.44
20,F,Y,200000,20.20
20,F,Y,250000,24.11
20,F,Y,300000,26.87
20,F,Y,350000,30.85
20,F,Y,400000,35.25
20,F,Y,500000,39.73
20,F,Y,600000,44.34
20,F,Y,700000,50.73
20,F,Y,800000,57.12
20,F,Y,1000000,68.48
21,M,N,100000,15.00
21,M,N,150000,19.44
21,M,N,200000,23.02
21,M,N,250000,28.40
21,M,N,300000,31.53
21,M,N,350000,37.35
21,M,N,400000,41.83
21,M,N,500000,46.31
21,M,N,600000,54.38
21,M,N,700000,62.44
21,M,N,800000,70.50
21,M,N,1000000,82.15
21,M,Y,100000,18.42
21,M,Y,150000,27.24
21,M,Y,200000,33.25
21,M,Y,250000,41.07
21,M,Y,300000,44.07
21,M,Y,350000,51.35
21,M,Y,400000,57.83
21,M,Y,500000,69.45
21,M,Y,600000,74.93
21,M,Y,700000,86.42
21,M,Y,800000,97.91
21,M,Y,1000000,119.55
21,F,N,100000,15.00
21,F,N,150000,15.00
21,F,N,200000,15.43
21,F,N,250000,17.79
21,F,N,300000,19.44
21,F,N,350000,22.18
21,F,N,400000,24.87
21,F,N,500000,27.23
21,F,N,600000,31.47
21,F,N,700000,35.72
21,F,N,800000,39.96
21,F,N,1000000,47.04
21,F,Y,100000,15.00
21,F,Y,150000,16.13
21,F,Y,200000,19.78
21,F,Y,250000,23.57
21,F,Y,300000,26.26
21,F,Y,350000,30.12
21,F,Y,400000,34.39
21,F,Y,500000,38.74
21,F,Y,600000,43.22
21,F,Y,700000,49.42
21,F,Y,800000,55.62
21,F,Y,1000000,66.65
22,M,N,100000,15.00
22,M,N,150000,18.18
22,M,N,200000,21.42
22,M,N,250000,26.29
22,M,N,300000,29.13
22,M,N,350000,34.41
22,M,N,400000,38.47
22,M,N,500000,42.53
22,M,N,600000,49.83
22,M,N,700000,57.14
22,M,N,800000,64.44
22,M,N,1000000,74.99
22,M,Y,100000,17.71
22,M,Y,150000,26.02
22,M,Y,200000,31.69
22,M,Y,250000,39.05
22,M,Y,300000,41.89
22,M,Y,350000,48.75
22,M,Y,400000,54.86
22,M,Y,500000,65.81
22,M,Y,600000,70.97
22,M,Y,700000,81.80
22,M,Y,800000,92.63
22,M,Y,1000000,113.03
22,F,N,100000,15.00
22,F,N,150000,15.00
22,F,N,200000,15.00
22,F,N,250000,16.94
