zip,smoking_RR,diabetes_RR
501,0.836956522,0.872093023
544,0.836956522,0.872093023
601,#N/A,#N/A
602,#N/A,#N/A
603,#N/A,#N/A
604,#N/A,#N/A
605,#N/A,#N/A
606,#N/A,#N/A
610,#N/A,#N/A
611,#N/A,#N/A
612,#N/A,#N/A
613,#N/A,#N/A
614,#N/A,#N/A
616,#N/A,#N/A
617,#N/A,#N/A
622,#N/A,#N/A
623,#N/A,#N/A
624,#N/A,#N/A
627,#N/A,#N/A
631,#N/A,#N/A
636,#N/A,#N/A
637,#N/A,#N/A
638,#N/A,#N/A
641,#N/A,#N/A
646,#N/A,#N/A
647,#N/A,#N/A
650,#N/A,#N/A
652,#N/A,#N/A
653,#N/A,#N/A
656,#N/A,#N/A
659,#N/A,#N/A
660,#N/A,#N/A
662,#N/A,#N/A
664,#N/A,#N/A
667,#N/A,#N/A
669,#N/A,#N/A
670,#N/A,#N/A
674,#N/A,#N/A
676,#N/A,#N/A
677,#N/A,#N/A
678,#N/A,#N/A
680,#N/A,#N/A
681,#N/A,#N/A
682,#N/A,#N/A
683,#N/A,#N/A
685,#N/A,#N/A
687,#N/A,#N/A
688,#N/A,#N/A
690,#N/A,#N/A
692,#N/A,#N/A
693,#N/A,#N/A
694,#N/A,#N/A
698,#N/A,#N/A
703,#N/A,#N/A
704,#N/A,#N/A
705,#N/A,#N/A
707,#N/A,#N/A
714,#N/A,#N/A
715,#N/A,#N/A
716,#N/A,#N/A
717,#N/A,#N/A
718,#N/A,#N/A
719,#N/A,#N/A
720,#N/A,#N/A
721,#N/A,#N/A
723,#N/A,#N/A
725,#N/A,#N/A
726,#N/A,#N/A
727,#N/A,#N/A
728,#N/A,#N/A
729,#N/A,#N/A
730,#N/A,#N/A
731,#N/A,#N/A
732,#N/A,#N/A
733,#N/A,#N/A
734,#N/A,#N/A
735,#N/A,#N/A
736,#N/A,#N/A
737,#N/A,#N/A
738,#N/A,#N/A
739,#N/A,#N/A
740,#N/A,#N/A
741,#N/A,#N/A
742,#N/A,#N/A
744,#N/A,#N/A
745,#N/A,#N/A
751,#N/A,#N/A
754,#N/A,#N/A
757,#N/A,#N/A
765,#N/A,#N/A
766,#N/A,#N/A
767,#N/A,#N/A
769,#N/A,#N/A
771,#N/A,#N/A
772,#N/A,#N/A
773,#N/A,#N/A
775,#N/A,#N/A
777,#N/A,#N/A
778,#N/A,#N/A
780,#N/A,#N/A
782,#N/A,#N/A
783,#N/A,#N/A
784,#N/A,#N/A
785,#N/A,#N/A
786,#N/A,#N/A
791,#N/A,#N/A
792,#N/A,#N/A
794,#N/A,#N/A
795,#N/A,#N/A
801,#N/A,#N/A
802,#N/A,#N/A
803,#N/A,#N/A
804,#N/A,#N/A
805,#N/A,#N/A
820,#N/A,#N/A
821,#N/A,#N/A
822,#N/A,#N/A
823,#N/A,#N/A
824,#N/A,#N/A
830,#N/A,#N/A
831,#N/A,#N/A
840,#N/A,#N/A
841,#N/A,#N/A
850,#N/A,#N/A
851,#N/A,#N/A
901,#N/A,#N/A
902,#N/A,#N/A
906,#N/A,#N/A
907,#N/A,#N/A
908,#N/A,#N/A
909,#N/A,#N/A
910,#N/A,#N/A
911,#N/A,#N/A
912,#N/A,#N/A
913,#N/A,#N/A
914,#N/A,#N/A
915,#N/A,#N/A
916,#N/A,#N/A
917,#N/A,#N/A
918,#N/A,#N/A
919,#N/A,#N/A
920,#N/A,#N/A
921,#N/A,#N/A
922,#N/A,#N/A
923,#N/A,#N/A
924,#N/A,#N/A
925,#N/A,#N/A
926,#N/A,#N/A
927,#N/A,#N/A
928,#N/A,#N/A
929,#N/A,#N/A
930,#N/A,#N/A
931,#N/A,#N/A
933,#N/A,#N/A
934,#N/A,#N/A
935,#N/A,#N/A
936,#N/A,#N/A
937,#N/A,#N/A
939,#N/A,#N/A
940,#N/A,#N/A
949,#N/A,#N/A
950,#N/A,#N/A
951,#N/A,#N/A
952,#N/A,#N/A
953,#N/A,#N/A
954,#N/A,#N/A
955,#N/A,#N/A
956,#N/A,#N/A
957,#N/A,#N/A
958,#N/A,#N/A
959,#N/A,#N/A
960,#N/A,#N/A
961,#N/A,#N/A
962,#N/A,#N/A
963,#N/A,#N/A
965,#N/A,#N/A
966,#N/A,#N/A
968,#N/A,#N/A
969,#N/A,#N/A
970,#N/A,#N/A
971,#N/A,#N/A
975,#N/A,#N/A
976,#N/A,#N/A
977,#N/A,#N/A
978,#N/A,#N/A
979,#N/A,#N/A
981,#N/A,#N/A
982,#N/A,#N/A
983,#N/A,#N/A
984,#N/A,#N/A
985,#N/A,#N/A
986,#N/A,#N/A
987,#N/A,#N/A
988,#N/A,#N/A
1001,1.02173913,1.139534884
1002,0.657608696,0.639534884
1003,0.657608696,0.639534884
1004,0.657608696,0.639534884
1005,0.994565217,1.197674419
1007,0.657608696,0.639534884
1008,1.02173913,1.139534884
1009,1.02173913,1.139534884
1010,1.02173913,1.139534884
1011,1.02173913,1.139534884
1012,0.657608696,0.639534884
1013,1.02173913,1.139534884
1014,1.02173913,1.139534884
1020,1.02173913,1.139534884
1021,1.02173913,1.139534884
1022,1.02173913,1.139534884
1026,0.657608696,0.639534884
1027,0.657608696,0.639534884
1028,1.02173913,1.139534884
1029,0.923913043,0.837209302
1030,1.02173913,1.139534884
1031,0.994565217,1.197674419
1032,0.657608696,0.639534884
1033,0.657608696,0.639534884
1034,1.02173913,1.139534884
1035,0.657608696,0.639534884
1036,1.02173913,1.139534884
1037,0.994565217,1.197674419
1038,0.657608696,0.639534884
1039,0.657608696,0.639534884
1040,1.02173913,1.139534884
1041,1.02173913,1.139534884
1050,0.657608696,0.639534884
1053,0.657608696,0.639534884
1054,1.331521739,1.302325581
1056,1.02173913,1.139534884
1057,1.02173913,1.139534884
1059,0.657608696,0.639534884
1060,0.657608696,0.639534884
1061,0.657608696,0.639534884
1062,0.657608696,0.639534884
1063,0.657608696,0.639534884
1066,1.331521739,1.302325581
1068,0.994565217,1.197674419
1069,1.02173913,1.139534884
1070,0.657608696,0.639534884
1071,1.02173913,1.139534884
1072,1.331521739,1.302325581
1073,0.657608696,0.639534884
1074,0.994565217,1.197674419
1075,0.657608696,0.639534884
1077,1.02173913,1.139534884
1079,1.02173913,1.139534884
1080,1.02173913,1.139534884
1081,1.02173913,1.139534884
1082,0.657608696,0.639534884
1083,0.994565217,1.197674419
1084,0.657608696,0.639534884
1085,1.02173913,1.139534884
1086,1.02173913,1.139534884
1088,0.657608696,0.639534884
1089,1.02173913,1.139534884
1090,1.02173913,1.139534884
1092,0.994565217,1.197674419
1093,1.331521739,1.302325581
1094,0.994565217,1.197674419
1095,1.02173913,1.139534884
1096,0.657608696,0.639534884
1097,1.02173913,1.139534884
1098,0.657608696,0.639534884
1101,1.02173913,1.139534884
1102,1.02173913,1.139534884
1103,1.02173913,1.139534884
1104,1.02173913,1.139534884
1105,1.02173913,1.139534884
1106,1.02173913,1.139534884
1107,1.02173913,1.139534884
1108,1.02173913,1.139534884
1109,1.02173913,1.139534884
1111,1.02173913,1.139534884
1115,1.02173913,1.139534884
1116,1.02173913,1.139534884
1118,1.02173913,1.139534884
1119,1.02173913,1.139534884
1128,1.02173913,1.139534884
1129,1.02173913,1.139534884
1133,1.02173913,1.139534884
1138,1.02173913,1.139534884
1139,1.02173913,1.139534884
1144,1.02173913,1.139534884
1151,1.02173913,1.139534884
1152,1.02173913,1.139534884
1195,1.02173913,1.139534884
1199,1.02173913,1.139534884
1201,0.923913043,0.837209302
1202,0.923913043,0.837209302
1203,0.923913043,0.837209302
1220,0.923913043,0.837209302
1222,0.923913043,0.837209302
1223,0.923913043,0.837209302
