face,gender,age,rr adjusted
0-100000,male,20,1.080159813
0-100000,male,21,1.075146268
0-100000,male,22,1.093677694
0-100000,male,23,1.167141275
0-100000,male,24,1.235877163
0-100000,male,25,1.30463928
0-100000,male,26,1.336012705
0-100000,male,27,1.395881049
0-100000,male,28,1.422564428
0-100000,male,29,1.500400781
0-100000,male,30,1.58115629
0-100000,male,31,1.716521215
0-100000,male,32,1.808052744
0-100000,male,33,1.830190462
0-100000,male,34,1.841715028
0-100000,male,35,1.852132134
0-100000,male,36,1.861776214
0-100000,male,37,1.871481518
0-100000,male,38,1.851981183
0-100000,male,39,1.836282505
0-100000,male,40,1.830826128
0-100000,male,41,1.793649673
0-100000,male,42,1.732723753
0-100000,male,43,1.737810409
0-100000,male,44,1.747171903
0-100000,male,45,1.753271253
0-100000,male,46,1.760689573
0-100000,male,47,1.765216402
0-100000,male,48,1.739130704
0-100000,male,49,1.711768263
0-100000,male,50,1.684205379
0-100000,male,51,1.657747598
0-100000,male,52,1.633088414
0-100000,male,53,1.613902389
0-100000,male,54,1.595221025
0-100000,male,55,1.576862977
0-100000,male,56,1.560376539
0-100000,male,57,1.543359341
0-100000,male,58,1.526824895
0-100000,male,59,1.506527206
0-100000,male,60,1.487757652
0-100000,male,61,1.472348497
0-100000,male,62,1.460963479
0-100000,male,63,1.43747396
0-100000,male,64,1.4162483
0-100000,male,65,1.397086841
0-100000,male,66,1.383279478
0-100000,male,67,1.367736555
0-100000,male,68,1.323978032
0-100000,male,69,1.290827157
0-100000,male,70,1.256033073
0-100000,male,71,1.22084853
0-100000,male,72,1.180752667
0-100000,female,20,0.996303776
0-100000,female,21,0.990708401
0-100000,female,22,0.986705569
0-100000,female,23,0.977384297
0-100000,female,24,0.984483324
0-100000,female,25,1.005083715
0-100000,female,26,1.020987575
0-100000,female,27,1.05693808
0-100000,female,28,1.042782396
0-100000,female,29,1.053462065
0-100000,female,30,1.108076158
0-100000,female,31,1.17105818
0-100000,female,32,1.235983222
0-100000,female,33,1.288598165
0-100000,female,34,1.320291874
0-100000,female,35,1.32896605
0-100000,female,36,1.33563187
0-100000,female,37,1.328094374
0-100000,female,38,1.311321427
0-100000,female,39,1.302008416
0-100000,female,40,1.292345741
0-100000,female,41,1.282233887
0-100000,female,42,1.271381724
0-100000,female,43,1.245971034
0-100000,female,44,1.223481232
0-100000,female,45,1.202845396
0-100000,female,46,1.185657073
0-100000,female,47,1.170746594
0-100000,female,48,1.152514857
0-100000,female,49,1.135568515
0-100000,female,50,1.119820818
0-100000,female,51,1.108898776
0-100000,female,52,1.098703811
0-100000,female,53,1.11389491
0-100000,female,54,1.131823817
0-100000,female,55,1.174371061
0-100000,female,56,1.233240165
0-100000,female,57,1.307606036
0-100000,female,58,1.347068589
0-100000,female,59,1.382238665
0-100000,female,60,1.423219483
0-100000,female,61,1.454982378
0-100000,female,62,1.481925321
0-100000,female,63,1.435856506
0-100000,female,64,1.404546085
0-100000,female,65,1.379115447
0-100000,female,66,1.361322998
0-100000,female,67,1.372868637
0-100000,female,68,1.384068746
0-100000,female,69,1.384452417
0-100000,female,70,1.379016311
0-100000,female,71,1.358611506
0-100000,female,72,1.324613204
100000+,All,All,1
