BMI,gender,tobacco,rr adjusted
0-18.5,male,no,1.0101820426
18.5-20.4,male,no,0.9185436594
20.5-21.9,male,no,0.8506633755
22.0-23.4,male,no,0.7929651342
23.5-24.9,male,no,0.7929651342
25.0-26.4,male,no,0.8336933045
26.5-27.9,male,no,0.8540573897
28.0-29.9,male,no,1
30.0-31.9,male,no,1.0441221845
32-34.9,male,no,1.2952792348
35.0-39.9,male,no,1.6278926257
40.0-100,male,no,2.0996605986
0-18.5,male,yes,1.5691937425
18.5-20.4,male,yes,1.4059366225
20.5-21.9,male,yes,1.2162053751
22.0-23.4,male,yes,1.0838347373
23.5-24.9,male,yes,1.022061773
25.0-26.4,male,yes,0.9867629362
26.5-27.9,male,yes,1
28.0-29.9,male,yes,1.0926594465
30.0-31.9,male,yes,1.1809065383
32-34.9,male,yes,1.3132771761
35.0-39.9,male,yes,1.357400722
40.0-100,male,yes,1.8648215002
0-18.5,female,no,1.1277173913
18.5-20.4,female,no,0.910326087
20.5-21.9,female,no,0.8233695652
22.0-23.4,female,no,0.8016304348
23.5-24.9,female,no,0.8315217391
25.0-26.4,female,no,0.875
26.5-27.9,female,no,0.9076086957
28.0-29.9,female,no,1
30.0-31.9,female,no,1.0733695652
32-34.9,female,no,1.2364130435
35.0-39.9,female,no,1.4402173913
40.0-100,female,no,1.5597826087
0-18.5,female,yes,1.7391304348
18.5-20.4,female,yes,1.1397515528
20.5-21.9,female,yes,0.9875776398
22.0-23.4,female,yes,0.9627329193
23.5-24.9,female,yes,0.9440993789
25.0-26.4,female,yes,0.9875776398
26.5-27.9,female,yes,1
28.0-29.9,female,yes,1.0248447205
30.0-31.9,female,yes,1.1273291925
32-34.9,female,yes,1.152173913
35.0-39.9,female,yes,1.3633540373
40.0-100,female,yes,1.4161490683
