MVR,age,gender,risk_ratio
NONE,All,All,KNOCKOUT
1_major,0-19,male,1.5909056974
1_major,20-29,male,1.4522487788
1_major,30-39,male,1.4522487788
1_major,40-49,male,1.5836079648
1_major,50-59,male,1.6711807555
1_major,60-69,male,1.5252261044
1_major,70-79,male,1.350080523
1_major,>80,male,1.2771031975
1_major,0-19,female,1.9762803694
1_major,20-29,female,1.8040357501
1_major,30-39,female,1.8040357501
1_major,40-49,female,1.9672148632
1_major,50-59,female,2.0760009385
1_major,60-69,female,1.8946908129
1_major,70-79,female,1.6771186621
1_major,>80,female,1.5864635993
clean,0-19,All,0.9087301587
clean,20-29,All,0.7857142857
clean,30-39,All,0.8888888889
clean,40-49,All,0.8888888889
clean,50-59,All,0.9285714286
clean,60-69,All,0.9880952381
clean,70-79,All,0.9841269841
clean,>80,All,1
minor_infractions,0-19,All,0.9722222222
minor_infractions,20-29,All,0.9761904762
minor_infractions,30-39,All,0.9761904762
minor_infractions,40-49,All,0.9285714286
minor_infractions,50-59,All,0.9126984127
minor_infractions,60-69,All,0.8928571429
minor_infractions,70-79,All,0.9285714286
minor_infractions,>80,All,0.9404761905
2_major,All,All,1.8021680217
3_major,All,All,1.7953929539
4_major,All,All,2.0189701897
>4_major,All,All,2.310298103
